Año,Universidad,Area de Conocimiento,Tipo,Valor
2014,UNA,Ciencias de la Salud,Matriculados,4774
2014,UNE,Ciencias de la Salud,Matriculados,711
2014,UNI,Ciencias de la Salud,Matriculados,210
2014,UNP,Ciencias de la Salud,Matriculados,145
2014,UNC,Ciencias de la Salud,Matriculados,402
2014,UNVES,Ciencias de la Salud,Matriculados,574
2014,UNCA,Ciencias de la Salud,Matriculados,620
2014,UNICAN,Ciencias de la Salud,Matriculados,31
2014,UNAMIS,Ciencias de la Salud,Matriculados,0
2014,UPTP,Ciencias de la Salud,Matriculados,0
2015,UNA,Ciencias de la Salud,Matriculados,5867
2015,UNE,Ciencias de la Salud,Matriculados,903
2015,UNI,Ciencias de la Salud,Matriculados,258
2015,UNP,Ciencias de la Salud,Matriculados,196
2015,UNC,Ciencias de la Salud,Matriculados,896
2015,UNVES,Ciencias de la Salud,Matriculados,830
2015,UNCA,Ciencias de la Salud,Matriculados,988
2015,UNICAN,Ciencias de la Salud,Matriculados,205
2015,UNAMIS,Ciencias de la Salud,Matriculados,0
2015,UPTP,Ciencias de la Salud,Matriculados,0
2016,UNA,Ciencias de la Salud,Matriculados,4300
2016,UNE,Ciencias de la Salud,Matriculados,682
2016,UNI,Ciencias de la Salud,Matriculados,240
2016,UNP,Ciencias de la Salud,Matriculados,359
2016,UNC,Ciencias de la Salud,Matriculados,390
2016,UNVES,Ciencias de la Salud,Matriculados,450
2016,UNCA,Ciencias de la Salud,Matriculados,573
2016,UNICAN,Ciencias de la Salud,Matriculados,114
2016,UNAMIS,Ciencias de la Salud,Matriculados,3
2016,UPTP,Ciencias de la Salud,Matriculados,0
2017,UNA,Ciencias de la Salud,Matriculados,10999
2017,UNE,Ciencias de la Salud,Matriculados,1849
2017,UNI,Ciencias de la Salud,Matriculados,1545
2017,UNP,Ciencias de la Salud,Matriculados,1109
2017,UNC,Ciencias de la Salud,Matriculados,329
2017,UNVES,Ciencias de la Salud,Matriculados,694
2017,UNCA,Ciencias de la Salud,Matriculados,1012
2017,UNICAN,Ciencias de la Salud,Matriculados,434
2017,UNAMIS,Ciencias de la Salud,Matriculados,0
2017,UPTP,Ciencias de la Salud,Matriculados,0
2018,UNA,Ciencias de la Salud,Matriculados,5867
2018,UNE,Ciencias de la Salud,Matriculados,903
2018,UNI,Ciencias de la Salud,Matriculados,258
2018,UNP,Ciencias de la Salud,Matriculados,196
2018,UNC,Ciencias de la Salud,Matriculados,896
2018,UNVES,Ciencias de la Salud,Matriculados,830
2018,UNCA,Ciencias de la Salud,Matriculados,988
2018,UNICAN,Ciencias de la Salud,Matriculados,205
2018,UNAMIS,Ciencias de la Salud,Matriculados,0
2018,UPTP,Ciencias de la Salud,Matriculados,0
2019,UNA,Ciencias de la Salud,Matriculados,5717
2019,UNE,Ciencias de la Salud,Matriculados,854
2019,UNI,Ciencias de la Salud,Matriculados,254
2019,UNP,Ciencias de la Salud,Matriculados,173
2019,UNC,Ciencias de la Salud,Matriculados,867
2019,UNVES,Ciencias de la Salud,Matriculados,768
2019,UNCA,Ciencias de la Salud,Matriculados,928
2019,UNICAN,Ciencias de la Salud,Matriculados,163
2019,UNAMIS,Ciencias de la Salud,Matriculados,0
2019,UPTP,Ciencias de la Salud,Matriculados,0
2020,UNA,Ciencias de la Salud,Matriculados,5803
2020,UNE,Ciencias de la Salud,Matriculados,854
2020,UNI,Ciencias de la Salud,Matriculados,254
2020,UNP,Ciencias de la Salud,Matriculados,173
2020,UNC,Ciencias de la Salud,Matriculados,867
2020,UNVES,Ciencias de la Salud,Matriculados,771
2020,UNCA,Ciencias de la Salud,Matriculados,998
2020,UNICAN,Ciencias de la Salud,Matriculados,177
2020,UNAMIS,Ciencias de la Salud,Matriculados,0
2020,UPTP,Ciencias de la Salud,Matriculados,0
2021,UNA,Ciencias de la Salud,Matriculados,3441
2021,UNE,Ciencias de la Salud,Matriculados,387
2021,UNI,Ciencias de la Salud,Matriculados,289
2021,UNP,Ciencias de la Salud,Matriculados,215
2021,UNC,Ciencias de la Salud,Matriculados,1345
2021,UNVES,Ciencias de la Salud,Matriculados,377
2021,UNCA,Ciencias de la Salud,Matriculados,734
2021,UNICAN,Ciencias de la Salud,Matriculados,155
2021,UNAMIS,Ciencias de la Salud,Matriculados,0
2021,UPTP,Ciencias de la Salud,Matriculados,0
2022,UNA,Ciencias de la Salud,Matriculados,20893
2022,UNE,Ciencias de la Salud,Matriculados,2508
2022,UNI,Ciencias de la Salud,Matriculados,2083
2022,UNP,Ciencias de la Salud,Matriculados,3023
2022,UNC,Ciencias de la Salud,Matriculados,2593
2022,UNVES,Ciencias de la Salud,Matriculados,3125
2022,UNCA,Ciencias de la Salud,Matriculados,3007
2022,UNICAN,Ciencias de la Salud,Matriculados,2883
2022,UNAMIS,Ciencias de la Salud,Matriculados,0
